"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"246","00AMGJ",13904,382.1,19.1,44.1,10.4,16.1,0.3,"00AM","00AM13904","Hackney - Haggerston",13904,39.8,73.8,84.1,"Hackney"," 00AM","00AM",15.9882048331415,5.7,45.6,45.9,17.4
"247","00BKGU",12759,99,19.2,48.5,10,22.4,0.4,"00BK","00BK12759","Westminster - Westbourne",12759,69,73.8,78,"Westminster"," 00BK","00BK",21.8198918410534,9.5,52.8,51.5,24.1
"248","00ACGT",17575,92.8,19.3,11.5,4.5,15.7,1,"00AC","00AC17575","Barnet - Woodhouse",17575,57.8,78.6,81.1,"Barnet"," 00AC","00AC",18.7482219061166,13.6,37.6,41,16.2
"249","00AJGP",13897,64.1,19.4,7.3,6.1,19.8,1.3,"00AJ","00AJ13897","Ealing - Lady Margaret",13897,91.3,78.2,81.9,"Ealing"," 00AJ","00AJ",20.1986040152551,11,83.5,55.9,25.2
"250","00AHHB",16082,85.7,19.5,20.6,7.7,16.6,0.9,"00AH","00AH16082","Croydon - Upper Norwood",16082,82.2,78.1,82.8,"Croydon"," 00AH","00AH",20.9924138788708,11,51.3,33.9,9
"251","00AJGH",18706,144.3,19.6,22.1,7.8,15,0.7,"00AJ","00AJ18706","Ealing - East Acton",18706,62.3,80.1,85.6,"Ealing"," 00AJ","00AJ",19.2505078584411,8.2,50.1,54.4,22.4
"252","00ABFX",12786,172.5,19.6,26.7,8.7,16.4,0.5,"00AB","00AB12786","Barking and Dagenham - Abbey",12786,103.7,82.9,87.2,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"253","00AQGU",10373,45.4,19.7,9.6,3.7,13.4,1.1,"00AQ","00AQ10373","Harrow - West Harrow",10373,60.8,81.4,82.6,"Harrow"," 00AQ","00AQ",20.3027089559433,13,55.8,42.9,14.4
"254","00AYGT",13641,103.6,19.7,27.1,5.9,12.7,0.7,"00AY","00AY13641","Lambeth - Thurlow Park",13641,61.1,76.8,84,"Lambeth"," 00AY","00AY",21.0615057547101,8.8,36.3,30.3,8.7
"255","00AEHC",15105,132.9,19.7,12,4.7,19.4,0.9,"00AE","00AE15105","Brent - Tokyngton",15105,99.6,80.5,86.6,"Brent"," 00AE","00AE",18.417742469381,11.3,76.3,62.9,26.6
"256","00BFGS",10650,60,19.9,12.9,3.3,16.4,1.1,"00BF","00BF10650","Sutton - Wallington North",10650,77.5,78.9,81.3,"Sutton"," 00BF","00BF",19.9154929577465,12.5,19.6,16.6,4.4
"257","00BCGD",13241,66.7,19.9,4.9,3.6,17,1.4,"00BC","00BC13241","Redbridge - Clayhall",13241,63.8,84,85.4,"Redbridge"," 00BC","00BC",21.9016690582282,14.3,71,38.8,10.9
"258","00ALGS",13062,60,20,23.5,4.9,25.4,1.1,"00AL","00AL13062","Greenwich - Coldharbour and New Eltham",13062,75.2,79,83.6,"Greenwich"," 00AL","00AL",NA,NA,NA,NA,NA
"259","00BEGW",12629,72.6,20,37.9,6.8,12.4,0.6,"00BE","00BE12629","Southwark - South Camberwell",12629,56.9,76.4,84.6,"Southwark"," 00BE","00BE",19.6848523240162,7.1,44.1,35.8,7.7
"260","00APGM",14638,91.5,20,23.6,11.3,20.4,0.5,"00AP","00AP14638","Haringey - St. Ann's",14638,76.2,73.6,81.8,"Haringey"," 00AP","00AP",NA,NA,NA,NA,NA
"261","00AYGJ",17243,113.7,20,41.4,7.3,13.9,0.4,"00AY","00AY17243","Lambeth - Larkhall",17243,38.8,74,79.2,"Lambeth"," 00AY","00AY",16.6560343327727,6.2,43.3,42.2,13
"262","00BEGP",13620,98.5,20.1,47.4,11.3,21.1,0.5,"00BE","00BE13620","Southwark - Nunhead",13620,70.4,71.2,77.3,"Southwark"," 00BE","00BE",19.6182085168869,8.9,55.5,39,9.1
"263","00AJHB",13330,100.1,20.1,12,3.6,10.2,0.8,"00AJ","00AJ13330","Ealing - Walpole",13330,66.8,79,85.5,"Ealing"," 00AJ","00AJ",17.9594898724681,10.5,27.1,38,14.1
"264","00AEHE",14727,156.3,20.1,15.6,6,20.7,0.8,"00AE","00AE14727","Brent - Wembley Central",14727,88.1,76.8,88.2,"Brent"," 00AE","00AE",18.2114483601548,9.7,86,68.5,32.9
"265","00ACFY",18217,67.8,20.2,35.5,6.9,23.6,0.8,"00AC","00AC18217","Barnet - Burnt Oak",18217,94.3,74.7,82.1,"Barnet"," 00AC","00AC",24.5814349234232,9.3,53.5,47.1,19.3
"266","00ABGD",12452,135.2,20.3,54,12.2,25.5,0.5,"00AB","00AB12452","Barking and Dagenham - Gascoigne",12452,130.2,73.4,83.6,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"267","00BJGU",14742,51.6,20.5,22.9,3.8,14.5,0.8,"00BJ","00BJ14742","Wandsworth - West Putney",14742,50.4,75.6,79.9,"Wandsworth"," 00BJ","00BJ",17.7994844661511,13.3,22.9,34.4,9.5
"268","00AMGC",13232,134.3,20.5,51,14.1,21.1,0.4,"00AM","00AM13232","Hackney - Chatham",13232,63.2,72.5,81.4,"Hackney"," 00AM","00AM",21.9543530834341,6.9,54.4,41.3,14.4
"269","00AKHD",13787,65.9,20.6,12,4.3,16.3,1.1,"00AK","00AK13787","Enfield - Southgate Green",13787,57.8,78.2,85.2,"Enfield"," 00AK","00AK",18.1112642344237,15.3,33.2,36.2,14
"270","00AZGH",14937,70.7,20.7,16.8,5.9,15.3,0.7,"00AZ","00AZ14937","Lewisham - Crofton Park",14937,84.4,78.5,86.4,"Lewisham"," 00AZ","00AZ",19.5353819374707,9.1,39.6,30.1,7
"271","00AYGL",14262,142.1,20.7,47.1,8.9,16.3,0.4,"00AY","00AY14262","Lambeth - Prince's",14262,65.9,74.5,81.5,"Lambeth"," 00AY","00AY",16.8980507642687,9.3,43.4,38.5,12.4
"272","00ACGA",17098,68.8,20.8,34.3,4.8,18,0.8,"00AC","00AC17098","Barnet - Colindale",17098,68.6,76.4,84.6,"Barnet"," 00AC","00AC",22.2306702538309,8.4,59.9,52.7,23.2
"273","00ABGK",10923,92.8,20.8,25.7,8.6,29.9,0.8,"00AB","00AB10923","Barking and Dagenham - River",10923,80.4,73.2,77.9,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"274","00ANGF",11306,98.4,20.9,31.9,3.8,11.7,0.5,"00AN","00AN11306","Hammersmith and Fulham - Fulham Reach",11306,40.9,82,92.7,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"275","00AMGT",13231,109.7,20.9,52.3,12.5,19.5,0.4,"00AM","00AM13231","Hackney - Victoria",13231,62.9,79.4,86.8,"Hackney"," 00AM","00AM",20.6409190537374,7.4,44.2,34,10.4
"276","00BGGH",16238,99.2,21.2,54,11.7,26.9,0.4,"00BG","00BG16238","Tower Hamlets - St. Dunstan's and Stepney Green",16238,92.9,71.6,77.3,"Tower Hamlets"," 00BG","00BG",NA,NA,NA,NA,NA
"277","00BDGP",9752,57,21.3,9.8,2.8,17,1.2,"00BD","00BD9752","Richmond upon Thames - Whitton",9752,76.8,79.7,85.8,"Richmond upon Thames"," 00BD","00BD",19.3396226415094,16.3,21.5,23.3,6.7
"278","00BCGP",16760,73.4,21.4,10,6.5,17.4,1.1,"00BC","00BC16760","Redbridge - Newbury",16760,84.5,78.8,83.8,"Redbridge"," 00BC","00BC",25.4474940334129,9.1,77.2,47.5,17.6
"279","00BFGL",10712,52.6,21.5,3.7,2.8,20.5,1.4,"00BF","00BF10712","Sutton - Stonecot",10712,45.6,78.7,85.2,"Sutton"," 00BF","00BF",20.5843913368185,14.5,20.9,18.1,5.2
"280","00AXGH",9431,34,21.6,9.1,2.3,15.7,1.4,"00AX","00AX9431","Kingston upon Thames - Old Malden",9431,62.6,82.4,85.9,"Kingston upon Thames"," 00AX","00AX",19.8706393807656,15.7,30.8,27.3,8.4
"281","00AZGM",14648,69.9,21.6,26.7,7.1,22.5,0.9,"00AZ","00AZ14648","Lewisham - Grove Park",14648,66.4,77.2,82.2,"Lewisham"," 00AZ","00AZ",20.8287820862916,12.6,37.5,26.9,7
"282","00AUGD",11634,96.6,21.6,31.1,4.7,13.4,0.5,"00AU","00AU11634","Islington - Highbury East",11634,64.2,76.7,80.5,"Islington"," 00AU","00AU",17.0190820010315,9.7,23.5,30.9,9.3
"283","00BBGD",14810,125.7,21.7,49.3,14.4,25.7,0.5,"00BB","00BB14810","Newham - Canning Town North",14810,72.4,74.6,75.9,"Newham"," 00BB","00BB",22.9574611748818,7.7,59.2,47.9,18.6
"284","00AWGQ",9343,85.1,21.9,58.7,9.4,21.5,0.5,"00AW","00AW9343","Kensington and Chelsea - St. Charles",9343,59.5,78.9,82.3,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"285","00AFGD",15098,45.3,22.1,7,2.4,14.5,1.4,"00AF","00AF15098","Bromley - Bickley",15098,57.7,78.3,81.5,"Bromley"," 00AF","00AF",19.2210888859452,19.8,14.5,15.7,2.7
"286","00AQGM",10411,0.9,22.2,6.7,1.9,11.4,1.4,"00AQ","00AQ10411","Harrow - Pinner South",10411,61.1,82.7,93.1,"Harrow"," 00AQ","00AQ",21.1603112092979,17.1,40.6,29.4,6.8
"287","00AHGF",14721,62.7,22.2,21.5,5.4,19.5,1.1,"00AH","00AH14721","Croydon - Ashburton",14721,60,78.5,82.3,"Croydon"," 00AH","00AH",21.7784117926771,13.2,36.7,22.3,4.8
"288","00AZGL",14854,78.2,22.2,26.4,7.6,13.9,0.7,"00AZ","00AZ14854","Lewisham - Forest Hill",14854,74.1,76.5,80.4,"Lewisham"," 00AZ","00AZ",21.1188905345362,10,38.2,31.1,8.2
"289","00AJGG",14019,91.3,22.2,14.6,4.8,10.8,0.9,"00AJ","00AJ14019","Ealing - Ealing Common",14019,49.6,77,86.3,"Ealing"," 00AJ","00AJ",15.2221984449675,11.3,31.5,43.1,15.4
"290","00BKGD",9618,107.2,22.2,49.8,6.8,19.1,0.4,"00BK","00BK9618","Westminster - Churchill",9618,46,74.6,81.9,"Westminster"," 00BK","00BK",20.1289249324184,12.8,39.4,44.4,17.4
"291","00BFGW",11655,42.3,22.3,6.4,2.4,17.2,1.2,"00BF","00BF11655","Sutton - Worcester Park",11655,83,81.1,83.7,"Sutton"," 00BF","00BF",20.7893607893608,13.4,20,21.5,6.1
"292","00AYGS",12526,59.9,22.4,39.1,5.9,14.2,0.6,"00AY","00AY12526","Lambeth - Thornton",12526,65.8,79,85.2,"Lambeth"," 00AY","00AY",20.6610250678589,7.9,40.5,37,10.1
"293","00ABFY",10385,93.2,22.4,36.8,10.2,31.2,0.8,"00AB","00AB10385","Barking and Dagenham - Alibon",10385,103.7,76.3,80.9,"Barking and Dagenham"," 00AB","00AB",NA,NA,NA,NA,NA
"294","00ATGQ",11977,83.3,22.6,34.1,4.9,19.9,0.9,"00AT","00AT11977","Hounslow - Isleworth",11977,89.7,74.9,82.9,"Hounslow"," 00AT","00AT",21.3242047257243,9.8,34.8,33.8,11.7
"295","00BHFY",12700,84.2,22.6,38.5,13.2,19.3,0.5,"00BH","00BH12700","Waltham Forest - Cathall",12700,79.3,74.9,81.6,"Waltham Forest"," 00BH","00BH",21.3622047244094,6.8,61,50.1,20
"296","00AJGL",14349,87,22.6,9.7,4.8,17.8,1.1,"00AJ","00AJ14349","Ealing - Greenford Green",14349,94.4,79,84,"Ealing"," 00AJ","00AJ",20.9631333193951,11.9,49,50.1,21.9
"297","00AZGK",16603,95.7,22.6,57.3,10.2,19.1,0.4,"00AZ","00AZ16603","Lewisham - Evelyn",16603,65.5,76.7,84,"Lewisham"," 00AZ","00AZ",23.2006263928206,6,60.9,44.8,16
"298","00AXGN",9578,42.7,22.7,7.5,1.9,10.1,1.2,"00AX","00AX9578","Kingston upon Thames - Tudor",9578,61.7,82.5,86.4,"Kingston upon Thames"," 00AX","00AX",22.9379828774274,13.6,17.6,23.9,6.1
"299","00AHGN",11479,64.7,22.8,60.6,11,34.4,0.8,"00AH","00AH11479","Croydon - Fieldway",11479,78.1,75.4,78.6,"Croydon"," 00AH","00AH",31.1089816186079,10.1,34.4,19.3,4.1
"300","00AMGM",14039,84.4,23,32,11.4,18.5,0.5,"00AM","00AM14039","Hackney - Leabridge",14039,71.9,73.7,78.1,"Hackney"," 00AM","00AM",21.091245815229,7,52.7,40.7,17.3
"301","00BAGC",11240,99,23,27.3,9.1,21,0.8,"00BA","00BA11240","Merton - Figge's Marsh",11240,114.6,75.9,80.2,"Merton"," 00BA","00BA",23.1138790035587,9.3,57.4,44.9,16.3
"302","00APGL",14429,124.1,23,48.6,20.8,29.2,0.5,"00AP","00AP14429","Haringey - Northumberland Park",14429,81.7,73.8,84,"Haringey"," 00AP","00AP",NA,NA,NA,NA,NA
"303","00BFGQ",10536,39.9,23.1,3.9,2.5,13.5,1.1,"00BF","00BF10536","Sutton - Sutton West",10536,63.2,79.4,82.2,"Sutton"," 00BF","00BF",18.0713743356112,13.9,23,25.1,7.8
"304","00BEGS",14390,147.9,23.2,34.3,4.7,13.5,0.5,"00BE","00BE14390","Southwark - Riverside",14390,50,78,80.8,"Southwark"," 00BE","00BE",12.4461431549687,6.4,31.2,40.5,12.7
"305","00AQGN",11984,55.4,23.3,3.9,3.2,20.8,1.2,"00AQ","00AQ11984","Harrow - Queensbury",11984,68.8,77.7,85.2,"Harrow"," 00AQ","00AQ",21.1949265687583,11.6,75,57.5,26.2
"306","00BGGD",15986,84.2,23.4,41.2,11.7,21.9,0.5,"00BG","00BG15986","Tower Hamlets - Limehouse",15986,70.3,77,79.3,"Tower Hamlets"," 00BG","00BG",22.2757412736144,6.2,56.8,43.8,19.7
"307","00APGN",15968,95.2,23.4,31.8,10.3,24.4,0.5,"00AP","00AP15968","Haringey - Seven Sisters",15968,90.7,77.6,89.3,"Haringey"," 00AP","00AP",27.0415831663327,7.3,41.2,49.1,22.5
"308","00BDGH",11172,55.1,23.5,4,1.6,6.6,1.1,"00BD","00BD11172","Richmond upon Thames - St. Margarets & North Twickenham",11172,61.7,84.1,94.5,"Richmond upon Thames"," 00BD","00BD",NA,NA,NA,NA,NA
"309","00BBGJ",15575,92,23.5,31.1,10.4,24.3,0.7,"00BB","00BB15575","Newham - East Ham South",15575,100,74.9,80.2,"Newham"," 00BB","00BB",27.8523274478331,7.4,67.7,46.6,19.7
"310","00AXGF",10955,366.4,23.6,13.2,2.2,8.5,0.8,"00AX","00AX10955","Kingston upon Thames - Grove",10955,52.9,77.7,88.8,"Kingston upon Thames"," 00AX","00AX",12.8617069831127,9.4,23.2,31.4,11.2
"311","00AXGK",10483,63.1,23.9,6.7,2.9,6.7,0.9,"00AX","00AX10483","Kingston upon Thames - St. Mark's",10483,54.8,81.4,81.3,"Kingston upon Thames"," 00AX","00AX",NA,NA,NA,NA,NA
"312","00ARGH",12262,32.8,24.1,4.4,3.1,25.3,1.3,"00AR","00AR12262","Havering - Hacton",12262,45.4,80.6,85.2,"Havering"," 00AR","00AR",16.5878323275159,19.7,7.3,7.3,1.7
"313","00AZGT",14916,140.6,24.1,26.9,9.2,18,0.6,"00AZ","00AZ14916","Lewisham - Rushey Green",14916,78.2,75.2,80.1,"Lewisham"," 00AZ","00AZ",22.0367390721373,9,59.1,38,10.2
"314","00BEGJ",11557,166.9,24.1,53.9,7.4,20.8,0.4,"00BE","00BE11557","Southwark - East Walworth",11557,58.2,74.5,81.9,"Southwark"," 00BE","00BE",18.4996106255949,8.3,51.8,43.8,13.7
"315","00BGGK",15110,77.9,24.2,42.7,14.8,21.3,0.4,"00BG","00BG15110","Tower Hamlets - Shadwell",15110,78.3,81,95.2,"Tower Hamlets"," 00BG","00BG",22.3891462607545,6.3,64.4,45.1,23.2
"316","00ACGG",15929,82.1,24.2,4.9,2,8.2,7.2,"00AC","00AC15929","Barnet - Garden Suburb",15929,73.5,82.7,87.3,"Barnet"," 00AC","00AC",20.3653713353004,16.3,21.4,36,10.9
"317","00AFGN",16769,84.7,24.2,33.5,7.1,28.5,1.1,"00AF","00AF16769","Bromley - Cray Valley West",16769,68.2,76.6,82.6,"Bromley"," 00AF","00AF",23.6269306458346,14.9,13.9,10.9,2.5
"318","00AJGC",15427,100.9,24.2,23.3,6.6,14.3,0.7,"00AJ","00AJ15427","Ealing - Acton Central",15427,75.1,81.3,90.7,"Ealing"," 00AJ","00AJ",19.66033577494,9.6,40,48.3,21
"319","00BAGM",9738,48.3,24.4,10.7,1.8,9.7,1,"00BA","00BA9738","Merton - Raynes Park",9738,82.3,80,83.8,"Merton"," 00BA","00BA",19.172314643664,13.7,19.8,33.4,8.7
"320","00AFGY",13651,37.6,24.6,2.7,2.1,15.2,1.4,"00AF","00AF13651","Bromley - Petts Wood and Knoll",13651,61.4,84.2,88.5,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"321","00ALGT",12519,59.9,24.6,17,4.1,20,1.1,"00AL","00AL12519","Greenwich - Eltham North",12519,57.9,77.9,86,"Greenwich"," 00AL","00AL",18.6117102004952,16.6,11.3,13.9,3.4
"322","00APGP",11758,69.9,24.6,22.9,5.5,10.1,0.6,"00AP","00AP11758","Haringey - Stroud Green",11758,40,77,89.9,"Haringey"," 00AP","00AP",16.2782786188127,6.9,25.9,31.3,9
"323","00APGE",12488,71.2,24.6,11.2,3.5,9.2,0.9,"00AP","00AP12488","Haringey - Fortis Green",12488,49.2,81.5,87.3,"Haringey"," 00AP","00AP",21.2764253683536,11,20.1,27.5,8.3
"324","00BFGH",10285,45.3,24.7,2.5,1.9,14.6,1.5,"00BF","00BF10285","Sutton - Cheam",10285,46.3,82.3,83,"Sutton"," 00BF","00BF",19.8249878463782,19.7,21.2,18.6,3.3
"325","00BCGH",12910,76.8,24.9,14.9,6.1,23.4,1.2,"00BC","00BC12910","Redbridge - Fullwell",12910,75.1,78.8,83.2,"Redbridge"," 00BC","00BC",21.5491866769946,15.6,48.5,29.6,8
"326","00AYGK",15106,146.2,24.9,34.8,6,13,0.4,"00AY","00AY15106","Lambeth - Oval",15106,42.1,77.1,79.8,"Lambeth"," 00AY","00AY",13.9944392956441,7.2,36.9,42.6,15
"327","00ANGN",12760,73.8,25,33.9,4.2,12.8,0.6,"00AN","00AN12760","Hammersmith and Fulham - Sands End",12760,48.6,78.2,81.8,"Hammersmith and Fulham"," 00AN","00AN",NA,NA,NA,NA,NA
"328","00AKHH",13403,54.1,25.2,6.4,3.9,15.4,1.2,"00AK","00AK13403","Enfield - Winchmore Hill",13403,68.8,78.5,81.5,"Enfield"," 00AK","00AK",18.4212489741103,14.9,23.8,27,8.1
"329","00AFGX",17326,97.7,25.2,29.8,7.4,17,0.8,"00AF","00AF17326","Bromley - Penge and Cator",17326,70.5,75.5,80.6,"Bromley"," 00AF","00AF",NA,NA,NA,NA,NA
"330","00APGB",13725,92.6,25.3,28.4,8.5,17.3,0.6,"00AP","00AP13725","Haringey - Bounds Green",13725,61.9,74.2,81.6,"Haringey"," 00AP","00AP",18.6739526411658,9.2,39.8,48.5,21.5
"331","00AJGQ",13517,49,25.6,6.7,2.6,8.7,0.9,"00AJ","00AJ13517","Ealing - Northfield",13517,63.4,84.2,85.2,"Ealing"," 00AJ","00AJ",18.8281423392765,11,23.2,36.2,11.1
"332","00AZGN",14515,90.7,25.6,23.6,6.1,12.8,0.7,"00AZ","00AZ14515","Lewisham - Ladywell",14515,63.6,74.5,79.2,"Lewisham"," 00AZ","00AZ",18.3258697898725,8.9,45.4,35.4,9.4
"333","00AYGF",13712,94.3,25.7,NA,NA,NA,NA,"00AY","00AY13712","Lambeth - Gipsy Hill",13712,70.1,77.2,83,"Lambeth"," 00AY","00AY",22.4912485414236,8.1,44.9,30.6,7.7
"334","00ADGW",10844,53.1,25.8,6.7,2,19.1,1.2,"00AD","00AD10844","Bexley - Sidcup",10844,43.7,76.4,78.8,"Bexley"," 00AD","00AD",15.8151973441534,20,10.1,10.6,2.2
"335","00ARGM",12952,61.9,26,7.2,3.2,23.7,1.4,"00AR","00AR12952","Havering - Hylands",12952,43.1,77.8,84.5,"Havering"," 00AR","00AR",17.6343421865349,16.2,9.7,7.9,1.7
"336","00BFGK",11949,75.5,26,40.5,7.5,27.3,1,"00BF","00BF11949","Sutton - St. Helier",11949,86.2,75.8,81.1,"Sutton"," 00BF","00BF",NA,NA,NA,NA,NA
"337","00AJGK",17625,113.5,26.2,23.4,7.6,21.9,0.9,"00AJ","00AJ17625","Ealing - Greenford Broadway",17625,93.5,77.4,81.2,"Ealing"," 00AJ","00AJ",23.4439716312057,11,57.3,48.6,22.2
"338","00ASHA",13979,123,26.2,22.2,3.9,14.1,1,"00AS","00AS13979","Hillingdon - Uxbridge South",13979,36.6,75.1,81.8,"Hillingdon"," 00AS","00AS",13.2627512697618,9.6,37.9,30.9,10
"339","00AFGW",15311,77.6,26.3,15.8,4.8,22.3,1.2,"00AF","00AF15311","Bromley - Orpington",15311,57,79.1,84.6,"Bromley"," 00AF","00AF",19.1626934883417,21.2,12.6,11.9,2.3
"340","00ADGL",10858,45.3,26.5,12.6,4.6,26.4,1.2,"00AD","00AD10858","Bexley - East Wickham",10858,71.2,79,84,"Bexley"," 00AD","00AD",18.9169276109781,18,16.9,13.4,3.2
"341","00AMGR",12378,64.6,26.5,47,10.8,31.7,0.4,"00AM","00AM12378","Hackney - Springfield",12378,126.5,80.2,84.2,"Hackney"," 00AM","00AM",33.1879140410406,6.9,44.9,39.4,18.2
"342","00AXFZ",10109,74.5,26.5,11.5,2.9,15.2,1,"00AX","00AX10109","Kingston upon Thames - Beverley",10109,66.1,76.8,80,"Kingston upon Thames"," 00AX","00AX",20.6647541794441,12.9,32.6,32.4,13.3
"343","00AYGQ",14336,69.7,26.6,15.5,7.6,17,0.8,"00AY","00AY14336","Lambeth - Streatham South",14336,69.3,81.3,84.5,"Lambeth"," 00AY","00AY",20.6682477678571,10.9,52.5,44.5,15.8
"344","00BBGQ",15318,83.3,26.6,22.5,10.9,20.7,0.7,"00BB","00BB15318","Newham - Manor Park",15318,97.6,75.3,79.5,"Newham"," 00BB","00BB",23.5082908995952,7.1,81.5,56.2,27.6
"345","00BBGE",15996,86.2,26.6,36,9.2,22.6,0.5,"00BB","00BB15996","Newham - Canning Town South",15996,59.8,74.5,85.9,"Newham"," 00BB","00BB",21.0865216304076,7.1,54.5,47.5,19.9
"346","00AEGM",13425,94.9,26.6,22.1,8,24.4,0.9,"00AE","00AE13425","Brent - Dollis Hill",13425,81.2,79.8,87.5,"Brent"," 00AE","00AE",25.0651769087523,11.3,64.3,54.5,22
"347","00ATGC",12330,105,26.6,29.1,6,20.2,1,"00AT","00AT12330","Hounslow - Cranford",12330,117.4,78.4,86.8,"Hounslow"," 00AT","00AT",21.3787510137875,10.1,73.9,56.2,26.5
"348","00BDGK",9987,41.4,26.7,6.6,1.3,6.4,1.1,"00BD","00BD9987","Richmond upon Thames - South Twickenham",9987,74.1,82.5,87,"Richmond upon Thames"," 00BD","00BD",18.4740162210874,10.3,9.7,18.8,4
"349","00AJGM",15561,73.2,26.7,4.7,3.3,9.2,1,"00AJ","00AJ15561","Ealing - Hanger Hill",15561,71.1,83.2,88.2,"Ealing"," 00AJ","00AJ",18.9705031810295,12.8,43.1,53.1,23.8
"350","00APGU",14514,99.2,26.8,23.2,9.2,20,0.6,"00AP","00AP14514","Haringey - Woodside",14514,59,74,84.4,"Haringey"," 00AP","00AP",19.1883698498002,8.5,43.2,54.2,25.6
"351","00BJGM",16556,89.3,26.9,21.8,4.8,11.4,0.7,"00BJ","00BJ16556","Wandsworth - St. Mary's Park",16556,64.6,72.5,76.2,"Wandsworth"," 00BJ","00BJ",NA,NA,NA,NA,NA
"352","00ASGW",14767,97.8,26.9,20.4,6,22,1.2,"00AS","00AS14767","Hillingdon - Pinkwell",14767,94.4,74.5,86.2,"Hillingdon"," 00AS","00AS",26.3357486286991,8.6,68.2,45.3,18.5
"353","00BFGN",10355,49.9,27,11.1,3.8,21.6,1.1,"00BF","00BF10355","Sutton - Sutton North",10355,60.5,76.9,82.9,"Sutton"," 00BF","00BF",20.1352003862868,16.5,21.9,21.1,6.1
"354","00BDGD",10313,59,27,21.2,3.8,20.4,1.2,"00BD","00BD10313","Richmond upon Thames - Heathfield",10313,80,80.2,82.3,"Richmond upon Thames"," 00BD","00BD",20.1687190924076,14.8,30.4,26.6,8.7
"355","00BFGF",10039,60,27,7,3.3,15.4,1.2,"00BF","00BF10039","Sutton - Carshalton Central",10039,60.5,82.9,85.4,"Sutton"," 00BF","00BF",19.0656439884451,13.7,13.7,15,3.7
"356","00AKGU",16263,72.3,27,19.5,11,27.2,0.8,"00AK","00AK16263","Enfield - Haselbury",16263,83.4,81,83.4,"Enfield"," 00AK","00AK",25.4196642685851,9.3,54.3,46,22.1
"357","00AGGT",13528,182.8,27,48,6.7,17.5,0.4,"00AG","00AG13528","Camden - Regent's Park",13528,53.5,74.8,83.8,"Camden"," 00AG","00AG",15.9151389710231,9.6,44.3,45.2,15.6
"358","00ATGJ",12319,83.7,27.1,15.7,4.6,16.1,1.2,"00AT","00AT12319","Hounslow - Heston East",12319,83.5,85.6,86.2,"Hounslow"," 00AT","00AT",20.3831479827908,10.5,77.4,56.5,26.1
"359","00BHGM",14184,104.6,27.1,34.5,12.5,21.1,0.6,"00BH","00BH14184","Waltham Forest - Leyton",14184,83.6,79,80.7,"Waltham Forest"," 00BH","00BH",24.2808798646362,7.4,63.5,48.8,20.8
"360","00AKHC",14454,59.3,27.2,7.4,4.6,16.1,1.1,"00AK","00AK14454","Enfield - Southgate",14454,67,81.1,85.4,"Enfield"," 00AK","00AK",18.8390756883908,14.1,31.6,33.2,11.7
"361","00BKGL",10210,76.6,27.2,24.5,4.6,13.2,0.5,"00BK","00BK10210","Westminster - Maida Vale",10210,71.6,87.6,88.8,"Westminster"," 00BK","00BK",17.8844270323213,9.2,37.6,49,15.2
"362","00BBGX",15551,78.6,27.2,40.9,10.9,20.9,0.5,"00BB","00BB15551","Newham - West Ham",15551,64.1,77.2,80.9,"Newham"," 00BB","00BB",21.5998971127259,7,65.5,51.2,22.1
"363","00AKGT",12709,70.2,27.4,3.4,3.1,16.1,1.3,"00AK","00AK12709","Enfield - Grange",12709,60,82.5,86.1,"Enfield"," 00AK","00AK",17.6095680226611,18.8,19.6,22.1,6.4
"364","00AXGB",8741,49.8,27.5,14.8,2.8,21.9,1.3,"00AX","00AX8741","Kingston upon Thames - Chessington North and Hook",8741,58.9,79,87.4,"Kingston upon Thames"," 00AX","00AX",NA,NA,NA,NA,NA
